index,actor_id,name,year,total_emissions,population,gdp,energy_consumption_EJ,renewable_consumption_EJ,emissions_per_pop,gdp_per_pop,energy_per_gdp,emissions_per_energy,population_per_emissions,renewables_per_energy
2560,SG,Singapore,1995,98554628.65056,3543875,87813000000,1.4001871817935485,0.0028155241935483,27.809849007247717,24778.808507636415,1.5945101315221532e-11,70386752.52284338,0.03595848361993562,0.0020108198604859365
2561,SG,Singapore,1996,98373015.2070352,3651903,96293000000,1.4129176917055484,0.0028155241935483,26.937466632338044,26367.89640907768,1.467310907029118e-11,69624023.95024727,0.03712301582211574,0.001992702200614142
2562,SG,Singapore,1997,102403997.6573,3760650,100124000000,1.4860823381935486,0.0028155241935483,27.23039837722202,26624.120830175634,1.4842418782645005e-11,68908697.06572261,0.03672366397828725,0.0018945950175081104
2563,SG,Singapore,1998,101202172.1454,3866293,85728000000,1.5066334071935483,0.0028155241935483,26.17550510150162,22173.177252732785,1.7574577818140494e-11,67171066.07499985,0.03820365628561004,0.001868752000390634
2564,SG,Singapore,1999,99952506.6943,3966482,86287000000,1.491574312193548,0.0028155241935483,25.19928407447708,21754.037961094997,1.7286199684698137e-11,67011415.976524316,0.039683667085321804,0.0018876191219783858
2565,SG,Singapore,2000,107096295.48941216,4053603,96077000000,1.5948519706607884,0.0028155241935483,26.42002571278247,23701.63037672905,1.6599726996687953e-11,67151245.04316184,0.03785007671344478,0.0017653827724097525
2566,SG,Singapore,2001,117535540.14688575,4121337,89794000000,1.8111147927046511,0.0054356854838709,28.518788962631728,21787.589803988365,2.0169663816119685e-11,64896792.08647099,0.03506460254361795,0.003001292632452883
2567,SG,Singapore,2002,111799605.153933,4176794,92538000000,1.7792317927138712,0.0054356854838709,26.766846809761986,22155.270286253046,1.9227039623872043e-11,62835885.47133845,0.037359648938376094,0.0030550743900432564
2568,SG,Singapore,2003,103681478.5072068,4226414,97646000000,1.6811656145725165,0.0056885080645161,24.531784748774445,23103.74705364879,1.7216942983558124e-11,61672376.3610706,0.04076344262110639,0.003383669053903748
2569,SG,Singapore,2004,116199780.946422,4270402,115034000000,1.881749747416774,0.0055046370967741,27.210501715394006,26937.51080109086,1.6358204943032268e-11,61750921.505868986,0.03675051678427018,0.0029252758526104486
2570,SG,Singapore,2005,127266860.81709264,4344638,127808000000,1.977252161824807,0.0054892235383064,29.29285726845197,29417.41061050426,1.5470488246626242e-11,64365518.609239,0.034138014971895114,0.002776187905765339
2571,SG,Singapore,2006,140295688.04943165,4486583,148627000000,2.175598784792629,0.005444474516129,31.270052966685704,33126.99218982464,1.4637978192338062e-11,64486011.40527121,0.03197947893038025,0.0025025177225625034
2572,SG,Singapore,2007,151423392.94828367,4663256,180942000000,2.335935503873145,0.0056725250806451,32.47160201976552,38801.64417308421,1.2909857876408711e-11,64823447.69246114,0.03079613994379761,0.002428374015994729
2573,SG,Singapore,2008,163384441.17040303,4838402,193617000000,2.48513499958106,0.0059889521678552,33.76826505329715,40016.724530123785,1.2835314045672952e-11,65744694.43227274,0.029613603139565486,0.0024099101935568116
2574,SG,Singapore,2009,176678872.805433,5010704,194150000000,2.672618866232463,0.0060732394092741,35.26028933368106,38747.05031468632,1.3765742293239573e-11,66107021.48282506,0.028360516005317853,0.002272392628072488
